theme;icon_url;id;articles_n
all;/img/icons/universe-svgrepo-com.svg;100;1093
data-viz;/img/icons/analytics-graph-svgrepo-com-3.svg;105;368
data-literacy;/img/icons/analytics-marketing-svgrepo-com.svg;110;7
data-analysis;/img/icons/analytics-graph-svgrepo-com.svg;115;52
data-science;/img/icons/data-science-probability-distribution.svg;120;106
pitfall;/img/icons/caution-svgrepo-com.svg;125;33
data-driven-enterprise;/img/icons/ai-svgrepo-com.svg;130;7
inspiration;/img/icons/inspiration-art-svgrepo-com.svg;135;91
