Title,Author,Created,Date_Added,Date_Added1,Excerpt,Image_Url,Link,Post_Date,Post_Date1,Post_Date_1,Tags,author_url,created_date,post-date-1,post-date-final,post-date-remove,text_date
Quotable,,"May 26, 2023 5:35 PM",,,,,https://twitter.com/benjaminbranham/status/1661892926681563136?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-05-26,,,,
Svelte Bricks,,"May 25, 2023 4:15 PM",,,,,https://bricks.janosh.dev/?ref=madewithsvelte.com,,,,,,2023-05-25,,,,
Graph | Unovis for Svelte,,"May 25, 2023 4:12 PM",,,,,https://unovis.dev/docs/networks-and-flows/Graph,,,,,,2023-05-25,,,,
"The Dunning-Kruger Effect Isn’t What You Think It Is
",,"May 24, 2023 10:31 AM",,,,,https://flip.it/00f4cm,,,,,,2023-05-24,,,,
Factuality in long-form generation is hard to evaluate because,,"May 24, 2023 8:12 AM",,,,,https://twitter.com/kalpeshk2011/status/1661151332148084737?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-05-24,,,,
[2305.13048] RWKV: Reinventing RNNs for the Transformer Era,,"May 23, 2023 3:36 PM",,,,,https://arxiv.org/abs/2305.13048,,,,,,2023-05-23,,,,
"GitHub - finos/perspective: A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",,"May 22, 2023 9:35 AM",,,,,https://github.com/finos/perspective,,,,,,2023-05-22,,,,
"Charts and Infographics
",,"May 22, 2023 9:35 AM",,,,,https://flip.it/bDKcm0,,,,,,2023-05-22,,,,
Some great quotes,,"May 14, 2023 7:26 PM",,,,,https://twitter.com/moral_wisdom_/status/1657401129414819840?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-05-14,,,,
Causal Inference: What If (the book) | Miguel Hernan's Faculty Website | Harvard T.H. Chan School of Public Health,,"May 13, 2023 6:15 PM",,,,,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,,,,,,2023-05-13,,,,
Improving Your Statistical Inferences,,"May 11, 2023 4:14 PM",,,,,https://lakens.github.io/statistical_inferences/,,,,,,2023-05-11,,,,
Mughal art,,"May 10, 2023 3:11 PM",,,,,https://twitter.com/baytalfann/status/1655880529202278400?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-05-10,,,,
"Two talks about robust objectives for visualization design and evaluation | Statistical Modeling, Causal Inference, and Social Science
",,"May 9, 2023 11:49 AM",,,,,https://flip.it/QIavas,,,,,,2023-05-09,,,,
"South Asia Open Archives Hits a Million
",,"May 9, 2023 11:44 AM",,,,,https://flip.it/jcbPG7,,,,,,2023-05-09,,,,
Data analysis example,,"May 9, 2023 6:57 AM",,,,,https://twitter.com/kareem_carr/status/1655614482432012289?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-05-09,,,,
"HuggingChat Python API: Your No-Cost Alternative
",,"May 4, 2023 1:12 PM",,,,,https://flip.it/LXgqBc,,,,,,2023-05-04,,,,
sfi-kit learn docs from hugging face,,"May 3, 2023 6:55 PM",,,,,https://twitter.com/mervenoyann/status/1653771963347742729?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-05-03,,,,
Llm explainer,,"April 29, 2023 1:22 AM",,,,,https://twitter.com/schattenmensch4/status/1651953071394545664?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-29,,,,
Data presentation masterclass,,"April 28, 2023 5:27 PM",,,,,https://twitter.com/jburnmurdoch/status/1651901173216038913?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-28,,,,
A list of public data repositories,Rebecca Barter,"April 26, 2023 11:08 PM",,,"My go-to smaller, more curated repositories. Sources for lesser-known and better-known public datasets.",https://www.rebeccabarter.com/blog/img/data/ivo-rainha-0rzUepBXHN0-unsplash.jpg,https://www.rebeccabarter.com/blog/2023-03-28-data_sources.html,,,,dataset,,2023-04-26,,,,"March 28, 2023"
The Rise of AI-Capitalism: An Interview with Nick Dyer-Witheford,https://lareviewofbooks.org/contributor/brian-justie,"April 26, 2023 6:49 PM",,,"https://www.plutobooks.com/9780745338606/inhuman-power/,
 a new and urgent book co-authored by Dyer-Witheford, therefore arrives 
as a sort of skeleton key for unlocking this new mode of capitalist 
mystification. The contributions of Dyer-Witheford’s collaborators — 
Atle Mikkola Kjøsen and James Steinhoff — extend the scope of critique 
in daring ways. At times, this means fully departing from the 
theoretical paths forged by Dyer-Witheford in his earlier work. This is,
 to be sure, a boon for readers. Over an extended period of email 
correspondence, I asked Dyer-Witheford to discuss some of the 
theoretical contentions underlying this new text.",https://img.lareviewofbooks.org/unsafe/1280x0/filters:format(jpeg)/https%3A%2F%2Fdev.lareviewofbooks.org%2Fwp-content%2Fuploads%2F2020%2F03%2FNick-Dyer-Witheford.png,https://lareviewofbooks.org/article/the-rise-of-ai-capitalism-an-interview-with-nick-dyer-witheford/,2020/06/11,2020-06-11,,"ai, cautionary-tale, interview",https://lareviewofbooks.org/contributor/brian-justie,2023-04-26,,2020-06-11,,"March 11, 2020"
Blender-OSM will allow you to import a number of map services including Mapbox,,"April 25, 2023 4:09 PM",,,,,https://twitter.com/owenjpowell/status/1650861690047844358?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-25,,,,
Every piece of advice I could think of after 4 years as a Solopreneur.,,"April 25, 2023 12:40 PM",,,,,https://twitter.com/thejustinwelsh/status/1650473972612341767?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-25,,,,
Let's talk about methods for identifying the optimal number of clusters in cluster analysis!,,"April 25, 2023 11:41 AM",,,,,https://twitter.com/selcukorkmaz/status/1650501705920921602?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-25,,,,
ChartGPT,,"April 24, 2023 11:09 PM",,,,,https://twitter.com/whoiskatrin/status/1650245885127806976?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-24,,,,
Oxford Ancient History - Podcasts & Videos,,"April 22, 2023 3:50 PM",,,,,https://www.carc.ox.ac.uk/carc/resources/Podcasts-videos,,,,,,2023-04-22,,,,
Playing for Their Lives: The Death Row Baseball Team - YouTube,,"April 22, 2023 10:37 AM",,,,,https://www.youtube.com/watch?v=srCdP_c-kDE,,,,,,2023-04-22,,,,
Robert Frost: “Mending Wall”,https://www.poetryfoundation.org/poets/austin-allen,"April 20, 2023 12:19 AM",,,"Are borders necessary or regressive? Are humans naturally driven toward greater connection and cooperation, or does some old, mistrustful instinct always hold us back? These are among the questions that haunt the edges of “Mending Wall” like shade in a springtime pasture.",,https://www.poetryfoundation.org/articles/150774/robert-frost-mending-wall,,,,,,2023-04-20,,,,
The AI native vector database,,"April 19, 2023 10:53 PM",,,,,https://weaviate.io/developers/weaviate,,,,,,2023-04-19,,,,
Open-source vector similarity search for Postgres,,"April 19, 2023 10:47 PM",,,"Supports
• exact and approximate nearest neighbor search
• L2 distance, inner product, and cosine distance
• any https://github.com/pgvector/pgvector#languages with a Postgres client",,https://github.com/pgvector/pgvector,,,,database,,2023-04-19,,,,
"Queries, secondary indexing, and full-text search for Redis",,"April 19, 2023 10:45 PM",,,,,https://redis.io/docs/stack/search/,,,,"application, database",,2023-04-19,,,,
"Mindsdb: With MindsDB, you can build, train, optimize, and deploy your ML models without the need for other platforms.",,"April 19, 2023 10:42 PM",,,"MindsDB brings machine learning into databases by employing the concept of AI Tables.
AI Tables are machine learning models stored as virtual tables inside a database. They facilitate making predictions based on your data. You can perform the time series, regression, and classification predictions within your database and get the output almost instantly by querying an AI Table with simple SQL statements.",,https://docs.mindsdb.com/quickstart,,,,,,2023-04-19,,,,
Prompt Engineering Guide | Prompt Engineering Guide,,"April 19, 2023 9:37 PM",,,,,https://www.promptingguide.ai/,,,,,,2023-04-19,,,,
Does high public debt consistently stifle economic growth? A critique of Reinhart and Rogoff | Cambridge Journal of Economics | Oxford Academic,,"April 19, 2023 7:29 PM",,,,,https://academic.oup.com/cje/article-abstract/38/2/257/1714018?redirectedFrom=fulltext,,,,,,2023-04-19,,,,
Page title...,,"April 19, 2023 7:29 PM",,,,,,,,,,,2023-04-19,,,,
"Agenda Seeding: How 1960s Black Protests Moved Elites, Public Opinion and Voting",https://www.cambridge.org/core/search?filters%5BauthorTerms%5D=OMAR%20WASOW&eventCode=SE-AU,"April 19, 2023 4:59 PM",,,,,https://www.cambridge.org/core/journals/american-political-science-review/article/agenda-seeding-how-1960s-black-protests-moved-elites-public-opinion-and-voting/136610C8C040C3D92F041BB2EFC3034C#,,,,,,2023-04-19,,,,21 May 2020
Common methodological mistakes - ScienceDirect,,"April 19, 2023 4:19 PM",,,,,https://www.sciencedirect.com/science/article/pii/S1048984323000036,,,,,,2023-04-19,,,,
"A Step-by-Step Guide to Web Scraping with Python and Beautiful Soup
",,"April 19, 2023 2:02 AM",,,,,https://flip.it/n49.3F,,,,,,2023-04-19,,,,
An Animated Map of the Earth,https://github.com/eleanorlutz,"April 18, 2023 8:00 PM",,,"This repository explains how to make an animated map of Earth using 
open-source code and data from NASA, USGS, and Natural Earth. Software 
used includes Python 3.7.1
, Illustrator CC 2019
 and Photoshop CC 2019
. If you have comments or suggestions for this tutorial, please let me know http://tabletopwhale.com/2019/07/08/an-animated-map-of-earth.html
! You can also buy the https://www.redbubble.com/people/eleanorlutz/works/39425726
 if you like.",https://github.com/eleanorlutz/earth_atlas_of_space/blob/main/readme_figures/earth_animated.gif,https://github.com/eleanorlutz/earth_atlas_of_space,,,,"animation, inspiration, map, python, tutorial",,2023-04-18,,,,"Nov 28, 2022"
Data Science in Python,Jake Teo,"April 17, 2023 11:55 PM",,,"This documentation summarises various machine learning techniques in Python. A lot of the content are compiled from various resources, so please cite them appropriately if you are using.",,https://python-data-science.readthedocs.io/en/latest/index.html,,,,,,2023-04-17,,,,2017
Discover the Community | DEAL,,"April 17, 2023 11:28 AM",,,,,https://doughnuteconomics.org/discover-the-community,,,,,,2023-04-17,,,,
Racism,,"April 17, 2023 11:13 AM",,,,,https://twitter.com/aljhlester/status/1647856752254132225?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-17,,,,
"quotes ",,"April 17, 2023 1:31 AM",,,,,https://twitter.com/ikhide/status/1647622630126632961?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-17,,,,
"The mostly complete chart of Neural Networks, explained",https://andrewtch.medium.com/?source=post_page-----3fb6f2367464--------------------------------,"April 16, 2023 8:54 PM",,,"In this story, I will go through every mentioned topology and try to explain how it works and where it is used. Ready? Let’s go!",https://miro.medium.com/v2/resize:fit:640/format:webp/1*JLlHNhYjyY9h9y1D1sy8Zw.png,https://towardsdatascience.com/the-mostly-complete-chart-of-neural-networks-explained-3fb6f2367464,2017/08/04,2017-08-04,,,,2023-04-16,,2017-08-04,"Aug 4, 2017",
Artificial Intelligence—The Revolution Hasn’t Happened Yet,https://hdsr.mitpress.mit.edu/user/michael-i-jordan,"April 16, 2023 8:42 PM",,,"As with many phrases that cross over from technical academic fields into general circulation, there is significant misunderstanding accompanying use of the phrase. However, this is not the classical case of the public not understanding the scientists—here the scientists are often as befuddled as the public. The idea that our era is somehow seeing the emergence of an intelligence in silicon that rivals our own entertains all of us, enthralling us and frightening us in equal measure. And, unfortunately, it distracts us.",,https://hdsr.mitpress.mit.edu/pub/wot7mkc1/release/10,,,,,,2023-04-16,,,,
Generate videos with ai,,"April 15, 2023 1:24 PM",,,,,https://twitter.com/gradio/status/1646934687968010241?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-15,,,,
Ai for academic writing,,"April 15, 2023 1:07 PM",,,,,https://twitter.com/mushtaqbilalphd/status/1647142156002263040?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-15,,,,
"Podcasts & Videos Oxford University- India trade connection ",,"April 15, 2023 12:56 PM",,,,,https://www.carc.ox.ac.uk/carc/resources/Podcasts-videos,,,,,,2023-04-15,,,,
Deep Learning course: lecture slides and lab noteboo,https://github.com/m2dsupsdlclass/lectures-labs/commits?author=ogrisel,"April 15, 2023 2:39 AM",,,,,https://github.com/m2dsupsdlclass/lectures-labs,,,,,,2023-04-15,,,,
Public APIs - Github,Unknown,"April 15, 2023 1:20 AM",,,,,https://github.com/public-apis/public-apis,,,,"api, development, product-owner",,2023-04-15,,,,
Art Institute of Chicago API,,"April 15, 2023 1:18 AM",,,,,,,,,,,2023-04-15,,,,
scikit-learn Tutorials — scikit-learn 1.2.2 documentation,,"April 14, 2023 9:13 PM",,,,,https://scikit-learn.org/stable/tutorial/index.html,,,,,,2023-04-14,,,,
Excel tutorials - YouTube,,"April 14, 2023 4:47 PM",,,,,https://www.youtube.com/playlist?list=PLwEff2aXpeWuz9fJrQLxmr5pnyoaESIka,,,,,,2023-04-14,,,,
Imagify color gradients,,"April 13, 2023 6:36 PM",,,,,https://twitter.com/ankurpsinghal/status/1645145594749394945?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-13,,,,
GitHub - michael/editable-website: A SvelteKit template for building CMS-free editable websites,,"April 13, 2023 12:57 PM",,,,,https://github.com/michael/editable-website,,,,,,2023-04-13,,,,
SvelteLab,,"April 13, 2023 3:26 AM",,,,,https://twitter.com/paoloricciuti/status/1646215717774323712?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-13,,,,
Self reflecting AI,,"April 13, 2023 3:25 AM",,,,,https://twitter.com/kevinafischer/status/1646009719314841601?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-13,,,,
Ellie.ai - Data Product Design and Collaboration,,"April 12, 2023 9:50 PM",,,,,https://www.ellie.ai/,,,,,,2023-04-12,,,,
Bestoried,,"April 12, 2023 7:37 PM",,,,,https://twitter.com/hamelhusain/status/1646203026917691393?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-12,,,,
Single-page apps • Docs • SvelteKit,,"April 12, 2023 3:29 PM",,,,,https://kit.svelte.dev/docs/single-page-apps,,,,,,2023-04-12,,,,
Svelte's lifecycle methods can be used anywhere - Geoff Rich,,"April 12, 2023 11:32 AM",,,,,https://geoffrich.net/posts/svelte-lifecycle-examples/,,,,,,2023-04-12,,,,
"If you're used to building client-only apps, state management in an app that spans server and client might seem intimidating",,"April 12, 2023 11:28 AM",,,,,https://twitter.com/dummdidumm_/status/1630930680006815786?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-12,,,,
What is Evidence? | Evidence Docs,,"April 12, 2023 11:21 AM",,,,,https://docs.evidence.dev/,,,,,,2023-04-12,,,,
Introduction / Welcome to Svelte • Svelte Tutorial,,"April 12, 2023 11:09 AM",,,,,https://learn.svelte.dev/tutorial/welcome-to-svelte,,,,,,2023-04-12,,,,
The Blind Spots: The highly inventive near-future detective mystery from the acclaimed author of Darktown https://www.amazon.se/dp/140871504X?ref_=cm_sw_r_apin_dp_PAGJ0CE8GYP35HGK0DQB,,"April 11, 2023 12:29 PM",,,,,https://www.amazon.se/dp/140871504X?ref_=cm_sw_r_apin_dp_PAGJ0CE8GYP35HGK0DQB,,,,,,2023-04-11,,,,
Inside language models (from GPT-4 to PaLM) – Dr Alan D. Thompson – Life Architect,,"April 11, 2023 10:19 AM",,,,,https://lifearchitect.ai/models/,,,,,,2023-04-11,,,,
"Cerebras-GPT: A Family of Open, Compute-efficient, Large Language Models - Cerebras",,"April 11, 2023 10:18 AM",,,,,https://www.cerebras.net/blog/cerebras-gpt-a-family-of-open-compute-efficient-large-language-models/,,,,,,2023-04-11,,,,
Page title...,,"April 11, 2023 10:18 AM",,,,,https://twitter.com/mattrickard/status/1645614429030195200?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-11,,,,
A List of 1 Billion+ Parameter LLMs,,"April 11, 2023 10:18 AM",,,,,https://matt-rickard.com/a-list-of-1-billion-parameter-llms,,,,,,2023-04-11,,,,
Ai apps,,"April 10, 2023 12:35 PM",,,,,https://twitter.com/realchasecurtis/status/1645016750658813952?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-10,,,,
GitHub - jpmorganchase/python-training: Python training for business analysts and traders,,"April 9, 2023 12:06 PM",,,,,https://github.com/jpmorganchase/python-training,,,,,,2023-04-09,,,,
midjourney thread,,"April 6, 2023 7:32 PM",,,,,https://twitter.com/daniel_eckler/status/1643954239721426944?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-06,,,,
Meta AI Image Segment AI,,"April 6, 2023 4:30 PM",,,,,https://twitter.com/mascobot/status/1643683161426235392?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-06,,,,
fast.ai - From Deep Learning Foundations to Stable Diffusion,,"April 5, 2023 6:15 PM",,,,,https://www.fast.ai/posts/part2-2023.html,,,,,,2023-04-05,,,,
YouTube,,"April 5, 2023 12:49 AM",,,,,https://youtu.be/tIekAj-ussc,,,,,,2023-04-05,,,,
"Five prompts for Chat gpt ",,"April 3, 2023 12:54 AM",,,,,https://twitter.com/khurramn1/status/1642579848303452160?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-03,,,,
quality workers,,"April 2, 2023 11:35 AM",,,,,https://twitter.com/thephilrivers/status/1642142124412923904?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-02,,,,
how to read a book,,"April 2, 2023 11:31 AM",,,,,https://twitter.com/kareem_carr/status/1642203352024088576?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-04-02,,,,
ColossalChat,,"April 2, 2023 2:54 AM",,,,,https://chat.colossalai.org/,,,,,,2023-04-02,,,,
GitHub - huggingface/huggingface_hub: All the open source things related to the Hugging Face Hub.,,"March 28, 2023 12:23 AM",,,,,https://github.com/huggingface/huggingface_hub,,,,,,2023-03-28,,,,
Free ML courses,,"March 27, 2023 9:00 PM",,,,,https://twitter.com/abacusai/status/1640368140466155520?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-27,,,,
How to write prompts,,"March 24, 2023 9:35 AM",,,,,https://twitter.com/dickiebush/status/1638906021635837952?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-24,,,,
AI snake oil book,,"March 21, 2023 3:38 PM",,,,,https://twitter.com/random_walker/status/1562828802266263553?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-21,,,,
Computer science & programming with Python,,"March 20, 2023 10:17 PM",,,,,https://twitter.com/python_spaces/status/1637831446135177216?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-20,,,,
Gen-2 by Runway Generative AI,,"March 20, 2023 9:53 PM",,,,,https://research.runwayml.com/gen2,,,,,,2023-03-20,,,,
4 chat gpt prompts,,"March 20, 2023 11:35 AM",,,,,https://twitter.com/thatroblennon/status/1637497370538827777?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-20,,,,
"Model fit is important ",,"March 19, 2023 11:36 PM",,,,,https://twitter.com/rexdouglass/status/1637268350186188805?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-19,,,,
Supertools - Find the best AI tools,,"March 17, 2023 6:09 PM",,,,,https://twitter.com/rowancheung/status/1636624844484759553?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-17,,,,
Create animation with chat gpt,,"March 17, 2023 9:05 AM",,,,,https://twitter.com/mengto/status/1636509268873560065?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-17,,,,
chatgpt,,"March 17, 2023 8:24 AM",,,,,https://twitter.com/mushtaqbilalphd/status/1636624945059880960?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-17,,,,
Causal Inference & Bayesian Analysis,,"March 13, 2023 10:13 AM",,,,,https://twitter.com/rlmcelreath/status/1634908814876225537?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-13,,,,
bates theorem practical,,"March 13, 2023 10:09 AM",,,,,https://twitter.com/levikul09/status/1634860542333685761?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-13,,,,
Chatgpt prompts,,"March 13, 2023 9:39 AM",,,,,https://twitter.com/nickfloats/status/1635116672054079488?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-13,,,,
"The ChatGPT list of lists: A collection of 3000+ prompts, examples, use-cases, tools, APIs, extensions, fails and other resources. | by Maximilian Vogel | MLearning.ai | Feb, 2023 | Medium",,"March 12, 2023 3:46 PM",,,,,https://medium.com/mlearning-ai/the-chatgpt-list-of-lists-a-collection-of-1500-useful-mind-blowing-and-strange-use-cases-8b14c35eb,,,,,,2023-03-12,,,,
A Visual Guide to Using BERT for the First Time – Jay Alammar – Visualizing machine learning one concept at a time.,,"March 12, 2023 2:15 PM",,,,,http://jalammar.github.io/a-visual-guide-to-using-bert-for-the-first-time/,,,,,,2023-03-12,,,,
Introducing OpenChatKit,,"March 12, 2023 12:45 PM",,,,,https://twitter.com/itakgol/status/1634590622286741504?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-12,,,,
ChatGPT on Laptop!,,"March 11, 2023 8:58 PM",,,,,https://twitter.com/sytelus/status/1634370038349303808?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-11,,,,
8 free AI tools that will save you tons of work,,"March 10, 2023 1:41 PM",,,,,https://twitter.com/hasantoxr/status/1633820125483630596?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-10,,,,
RIP video editors,,"March 10, 2023 10:20 AM",,,,,https://twitter.com/rowancheung/status/1633922250742087687?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-10,,,,
Make your own personal ChatGPT from pdf documents,,"March 9, 2023 6:30 PM",,,,,https://twitter.com/rowancheung/status/1633868758530883584?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-09,,,,
Propoganda Posters in Midjourney,,"March 9, 2023 12:37 AM",,,,,https://twitter.com/nickfloats/status/1633342761356218368?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-09,,,,
New AI tools can make you superhuman,,"March 9, 2023 12:32 AM",,,,,https://twitter.com/rowancheung/status/1633506802254979090?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-09,,,,
ML Engineer Interview Questions,,"March 8, 2023 8:33 PM",,,,,https://twitter.com/nicksinghtech/status/1633386647436795907?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-08,,,,
Open-source multi-modal LLMs,,"March 7, 2023 10:05 PM",,,,,https://twitter.com/drjimfan/status/1633179734803890177?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-07,,,,
Page title...,,"March 6, 2023 11:25 PM",,,,,https://twitter.com/rowancheung/status/1632472591389556737?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-06,,,,
Page title...,,"March 6, 2023 8:58 PM",,,,,https://twitter.com/drjimfan/status/1632810438919598080?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-06,,,,
Page title...,,"March 6, 2023 12:45 PM",,,,,https://twitter.com/rowancheung/status/1632380991200284711?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-06,,,,
Page title...,,"March 5, 2023 2:09 PM",,,,,https://twitter.com/emmacatnip/status/1632199451371528193?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-05,,,,
,,"March 5, 2023 12:11 PM",,,,,https://twitter.com/binxnet/status/1632033123469873158?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-05,,,,
Page title...,,"March 5, 2023 3:12 AM",,,,,https://twitter.com/emollick/status/1528586914097422336?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-05,,,,
Page title...,,"March 4, 2023 4:27 PM",,,,,https://twitter.com/minimaxir/status/1631717009108123648?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-04,,,,
Page title...,,"March 4, 2023 2:04 PM",,,,,https://twitter.com/hwchase17/status/1631791865136832513?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-04,,,,
Page title...,,"March 4, 2023 12:24 PM",,,,,https://twitter.com/wasimlorgat/status/1631926803827765250?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-04,,,,
Page title...,,"March 4, 2023 12:34 AM",,,,,https://twitter.com/clementdelangue/status/1631726804422598675?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-04,,,,
Page title...,,"March 3, 2023 11:23 AM",,,,,https://twitter.com/bilawalsidhu/status/1631043203515449344?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-03,,,,
Page title...,,"March 2, 2023 11:46 PM",,,,,https://twitter.com/rainmaker1973/status/1631274644173996032?s=12&t=yLx3I30FO8IpnS_bxfC8TA,,,,,,2023-03-02,,,,
The Machines of Mastery - by Ethan Mollick,,"March 1, 2023 11:13 PM",,,,,https://oneusefulthing.substack.com/p/the-machines-of-mastery,,,,,,2023-03-01,,,,
Page title...,,"February 28, 2023 10:03 PM",,,,,https://twitter.com/jungofthewon/status/1621216780176986112?s=12&t=syTA3fr__PRASuHBzo6i6g,,,,,,2023-02-28,,,,
Page title...,,"February 28, 2023 10:02 PM",,,,,https://twitter.com/jerryjliu0/status/1629904453741723650?s=12&t=syTA3fr__PRASuHBzo6i6g,,,,,,2023-02-28,,,,
"Modern Statistics with R
",,"February 27, 2023 11:58 PM",,,,,https://flip.it/yn00Zv,,,,,,2023-02-27,,,,
video 2 video,,"February 27, 2023 9:00 PM",,,,,https://twitter.com/bilawalsidhu/status/1629632110456602631?s=12&t=1whZmFHs24cT2GAv7tuexA,,,,,,2023-02-27,,,,
Ray shader masterclass,,"February 26, 2023 4:24 PM",,,,,https://twitter.com/tylermorganwall/status/1629518924332105730?s=12&t=s6ElZuZvhyjZGt0kG22w3g,,,,,,2023-02-26,,,,
"The future, soon: what I learned from Bing's AI",,"February 19, 2023 7:37 PM",,,,,https://oneusefulthing.substack.com/p/the-future-soon-what-i-learned-from,,,,,,2023-02-19,,,,
Stefano Giomo - Searching the real images island,,"February 13, 2023 9:38 PM",,,,,https://artste.github.io/blog/posts/real-images-island/,,,,,,2023-02-13,,,,
BLOOM,,"February 13, 2023 8:34 PM",,,,,https://bigscience.huggingface.co/blog/bloom,,,,,,2023-02-13,,,,
extractgpt,,"February 12, 2023 10:36 AM",,,,,https://twitter.com/kasrak/status/1624515411973922816?s=12&t=OD3VcADv39xv5gZrESziew,,,,,,2023-02-12,,,,
"Introducing the new JupyterLab Desktop! | by Mehmet Bektas | Feb, 2023 | Jupyter Blog",,"February 9, 2023 9:43 PM",,,,,https://blog.jupyter.org/introducing-the-new-jupyterlab-desktop-bca1982bdb23,,,,,,2023-02-09,,,,
How ancient DNA may rewrite prehistory in India - BBC News,,"February 9, 2023 9:03 PM",,,,,https://www.bbc.com/news/world-asia-india-46616574.amp,,,,,,2023-02-09,,,,
Page title...,,"February 9, 2023 6:32 AM",,,,,https://twitter.com/mosarwat/status/1623010805703909376?s=12&t=mAKGk4KhvrpdIIATzvLRSA,,,,,,2023-02-09,,,,
"MotherDuck: Big Data is Dead
",,"February 8, 2023 11:26 PM",,,,,https://flip.it/Zy5w2U,,,,,,2023-02-08,,,,
"GitHub - LAION-AI/Open-Assistant: OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",,"February 6, 2023 3:33 PM",,,,,https://github.com/LAION-AI/Open-Assistant,,,,,,2023-02-06,,,,
